"Dataset File","Collected","Variable","Label","Description"
"Form 2 - Eligibility Screening","Baseline","ID","WHI Participant Common ID",""
"Form 2 - Eligibility Screening","Baseline","F2DAYS","F2 Days since randomization",""
"Form 2 - Eligibility Screening","Baseline","F2CONT","Contact type","The method used to collect the data."
"Form 2 - Eligibility Screening","Baseline","AREA3Y","Living in area for next 3 years","Do you think you will be living in this area for the next three years?"
"Form 2 - Eligibility Screening","Baseline","OTHSTDY","In other research study","Are you now in any other research study?"
"Form 2 - Eligibility Screening","Baseline","EXSTDY","Excluded study","Is study on CC list of excluding studies?"
"Form 2 - Eligibility Screening","Baseline","BRCA_F2","Breast cancer ever","Did a doctor ever say that you had breast cancer?"
"Form 2 - Eligibility Screening","Baseline","COLON_F2","Colorectal cancer ever","Did a doctor ever say that you had colon, rectum, bowel or intestinal cancer?"
"Form 2 - Eligibility Screening","Baseline","COLON10Y","Colorectal cancer last 10 years","Were you told that you had this cancer in the last 10 years?"
"Form 2 - Eligibility Screening","Baseline","ENDO_F2","Endometrial cancer ever","Did a doctor ever say that you had endometrial cancer (cancer of the lining of the uterus or womb)?"
"Form 2 - Eligibility Screening","Baseline","ENDO10Y","Endometrial cancer last 10 years","Were you told that you had this cancer in the last 10 years?"
"Form 2 - Eligibility Screening","Baseline","SKIN_F2","Skin cancer ever","Did a doctor ever say that you had skin cancer?"
"Form 2 - Eligibility Screening","Baseline","MELAN_F2","Melanoma cancer ever","Was the skin cancer a melanoma?"
"Form 2 - Eligibility Screening","Baseline","MELAN10Y","Melanoma cancer last 10 years","Were you told that you had this melanoma in the last 10 years?"
"Form 2 - Eligibility Screening","Baseline","OTHCA10Y","Any other cancer than listed last 10 yrs","In the past 10 years, did a doctor ever say that you had any other cancers?"
"Form 2 - Eligibility Screening","Baseline","RACE","Racial or ethnic group","How would you describe your racial or ethnic group? If you are of mixed blood, which group do you identify with most?"
"Form 2 - Eligibility Screening","Baseline","HEARSTDY","Reason for contacting study","How did you hear about the study? (Mark one. If you heard in more than one way, mark the one that made you decide to contact us.)"
"Form 2 - Eligibility Screening","Baseline","HORM","Female hormones ever","Did you ever use any female hormones like estrogen (Premarin) or progesterone (Provera)?These might be pills, skin patches, implants, creams, suppositories, shots, or birth control pills. (This does not include birth control pills you used before you were 50.)"
"Form 2 - Eligibility Screening","Baseline","HORMNW","Female hormones now","Are you using female hormones now?"
"Form 2 - Eligibility Screening","Baseline","HORM3M","Female hormones last 3 months","Have you used female hormones in the last 3 months?"
"Form 2 - Eligibility Screening","Baseline","OSTEOBK","Osteoporosis-related fracture ever","Have you ever had an osteoporosis-related fracture or broken bone? (Osteoporosis is a condition where bones become brittle and weak as a woman ages.)"
"Form 2 - Eligibility Screening","Baseline","HORMBK","Hormones to treat osteoporosis fracture","Did a doctor give you hormones to treat the fracture or broken bone?"
"Form 2 - Eligibility Screening","Baseline","HYST","Hysterectomy ever","Did you ever have a hysterectomy? (This is an operation to take out your uterus or womb.)"
